PASSENGERS,Passenger Miles,CARRIER_NAME-ORIGIN_CITY_NAME-DEST_CITY_NAME,CARRIER_NAME,ORIGIN_CITY_NAME,DEST_CITY_NAME,ORIGIN_LATITUDE,ORIGIN_LONGITUDE,DEST_LATITUDE,DEST_LONGITUDE
333224,167511674,"Delta Air Lines Inc.-Detroit, MI-New York, NY Total Total",Delta Air Lines Inc.,"Detroit, MI","New York, NY",42.3315509,-83.0466403,40.7127281,-74.0060152
332994,198604602,"Southwest Airlines Co.-Chicago, IL-Washington, DC Total Total",Southwest Airlines Co.,"Chicago, IL","Washington, DC",41.8755616,-87.6244212,38.8950368,-77.0365427
332810,288545922,"United Air Lines Inc.-Boston, MA-Chicago, IL Total Total",United Air Lines Inc.,"Boston, MA","Chicago, IL",42.3554334,-71.060511,41.8755616,-87.6244212
331802,348392100,"Alaska Airlines Inc.-San Diego, CA-Seattle, WA Total Total",Alaska Airlines Inc.,"San Diego, CA","Seattle, WA",32.7174202,-117.162772,47.6038321,-122.330062
331391,113335722,"Southwest Airlines Co.-Santa Ana, CA-San Jose, CA Total Total",Southwest Airlines Co.,"Santa Ana, CA","San Jose, CA",33.7494951,-117.873221,37.3361663,-121.890591
330022,112867524,"Southwest Airlines Co.-San Jose, CA-Santa Ana, CA Total Total",Southwest Airlines Co.,"San Jose, CA","Santa Ana, CA",37.3361663,-121.890591,33.7494951,-117.873221
329166,65833200,"United Air Lines Inc.-Boston, MA-Newark, NJ Total Total",United Air Lines Inc.,"Boston, MA","Newark, NJ",42.3554334,-71.060511,40.735657,-74.1723667
329022,330667110,"United Air Lines Inc.-Chicago, IL-Orlando, FL Total Total",United Air Lines Inc.,"Chicago, IL","Orlando, FL",41.8755616,-87.6244212,28.5421109,-81.3790304
327976,472285440,"American Airlines Inc.-Phoenix, AZ-Chicago, IL Total Total",American Airlines Inc.,"Phoenix, AZ","Chicago, IL",33.4484367,-112.074141,41.8755616,-87.6244212
325861,199426701,"American Airlines Inc.-Washington, DC-Chicago, IL Total Total",American Airlines Inc.,"Washington, DC","Chicago, IL",38.8950368,-77.0365427,41.8755616,-87.6244212
325336,104432856,"Delta Air Lines Inc.-Louisville, KY-Atlanta, GA Total Total",Delta Air Lines Inc.,"Louisville, KY","Atlanta, GA",38.2542376,-85.759407,33.7544657,-84.3898151
324418,80455664,"Southwest Airlines Co.-Dallas, TX-San Antonio, TX Total Total",Southwest Airlines Co.,"Dallas, TX","San Antonio, TX",32.7762719,-96.7968559,29.4246002,-98.4951405
323870,1240156705,"Japan Air Lines Co. Ltd.-Honolulu, HI-Tokyo, Japan Total Total",Japan Air Lines Co. Ltd.,"Honolulu, HI","Tokyo, Japan",21.304547,-157.855676,35.6768601,139.7638947
323274,219503336,"United Air Lines Inc.-Seattle, WA-San Francisco, CA Total Total",United Air Lines Inc.,"Seattle, WA","San Francisco, CA",47.6038321,-122.330062,37.7792588,-122.4193286
322695,324308475,"United Air Lines Inc.-Orlando, FL-Chicago, IL Total Total",United Air Lines Inc.,"Orlando, FL","Chicago, IL",28.5421109,-81.3790304,41.8755616,-87.6244212
322379,215671551,"Delta Air Lines Inc.-Atlanta, GA-Milwaukee, WI Total Total",Delta Air Lines Inc.,"Atlanta, GA","Milwaukee, WI",33.7544657,-84.3898151,43.0386475,-87.9090751
321672,103256712,"Delta Air Lines Inc.-Atlanta, GA-Louisville, KY Total Total",Delta Air Lines Inc.,"Atlanta, GA","Louisville, KY",33.7544657,-84.3898151,38.2542376,-85.759407
321044,114612708,"Air Canada-Toronto, Canada-New York, NY Total Total",Air Canada,"Toronto, Canada","New York, NY",43.6534817,-79.3839347,40.7127281,-74.0060152
